what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1340011719900
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1340011719950
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1340011719985
started,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1340011720115
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1340011720132
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1340011720173
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1340011720197
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1340011720253
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1340011720306
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1340011720328
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1340011720408
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1340011720475
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1340011720557
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1340011720604
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1340011720604
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1340011720659
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1340011720689
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1340011720752
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1340011720832
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1340011720853
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1340011720955
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1340011721011
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1340011721043
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1340011721099
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1340011721157
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1340011721157
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1340011721261
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1340011721261
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1340011721353
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1340011721443
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1340011721503
os,sysinfo,,,"win32",1340011721511
arch,sysinfo,,,"x86",1340011721512
ws,sysinfo,,,"win32",1340011721512
locale,sysinfo,,,"en_US",1340011721512
processors,sysinfo,,,"2",1340011721512
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340011721512
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1340011721512
java.specification.name,sysinfo,,,"Java Platform API Specification",1340011721512
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340011721512
java.specification.version,sysinfo,,,"1.6",1340011721512
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1340011721512
java.version,sysinfo,,,"1.6.0_22",1340011721512
java.vm.info,sysinfo,,,"mixed mode",1340011721512
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1340011721512
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340011721512
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340011721512
java.vm.specification.version,sysinfo,,,"1.0",1340011721512
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1340011721512
java.vm.version,sysinfo,,,"17.1-b03",1340011721512
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1340011902053
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1340011919788
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1340011919897
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1340011919947
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1340012355601
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1340012355647
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1340012362091
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1340012715696
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1340012864339
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1340013107957
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1340013117566
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1340013220532
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1340013220633
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1340013220735
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1340013289030
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1340013289050
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1340013296793
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1340013297875
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1340013298560
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1340013298724
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1340013298853
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1340013298853
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1340013298990
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1340013299081
